47	50
117	50
187	50
34	48
104	48
174	48
33	46
103	46
173	46
26	44
96	44
166	44
14	42
84	42
154	42
12	40
82	40
152	40
10	38
80	38
150	38
61	36
131	36
201	36
46	34
116	34
186	34
38	32
108	32
178	32
25	30
95	30
165	30
23	28
93	28
163	28
19	26
89	26
159	26
21	24
91	24
161	24
31	22
101	22
171	22
44	20
114	20
184	20
51	18
121	18
191	18
62	16
132	16
202	16
70	14
140	14
210	14
4	12
74	12
144	12
2	10
72	10
142	10
49	9
119	9
189	9
59	8
129	8
199	8
58	7
64	7
128	7
134	7
198	7
204	7
6	6
56	6
65	6
76	6
126	6
135	6
146	6
196	6
205	6
15	5
28	5
42	5
54	5
85	5
98	5
112	5
124	5
155	5
168	5
182	5
194	5
7	4
17	4
40	4
52	4
67	4
77	4
87	4
110	4
122	4
137	4
147	4
157	4
180	4
192	4
207	4
43	3,6
113	3,6
183	3,6
8	3
18	3
30	3
35	3
39	3
55	3
57	3
68	3
78	3
88	3
100	3
105	3
109	3
125	3
127	3
138	3
148	3
158	3
170	3
175	3
179	3
195	3
197	3
208	3
5	2
11	2
13	2
16	2
20	2
24	2
41	2
45	2
50	2
60	2
66	2
69	2
75	2
81	2
83	2
86	2
90	2
94	2
111	2
115	2
120	2
130	2
136	2
139	2
145	2
151	2
153	2
156	2
160	2
164	2
181	2
185	2
190	2
200	2
206	2
209	2
32	1,8
53	1,8
102	1,8
123	1,8
172	1,8
193	1,8
37	1,6
107	1,6
177	1,6
1	1
3	1
9	1
71	1
73	1
79	1
141	1
143	1
149	1
48	0,9
118	0,9
188	0,9
22	0,8
27	0,8
29	0,8
36	0,8
63	0,8
92	0,8
97	0,8
99	0,8
106	0,8
133	0,8
162	0,8
167	0,8
169	0,8
176	0,8
203	0,8
